,text,place,uri,collector,area
97600,Εμνήσθην ημερών αρχαίων,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197887,"Παπατσώνης, Τάκης Κ.",Κρήτη
97601,Εν ιδρώτι του προσώπου σου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197889,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97602,Εν μέσω δύο ληστών,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239213,"Παπατσώνης, Τάκης Κ.",Θράκη
97603,Εν χορδαίς και οργάνω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214942,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97604,Ενύσταξεν η ψυχή μου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239223,"Παπατσώνης, Τάκης Κ.",Λακωνία
97605,Επί δικαίους και αδίκους,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197885,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97606,Ερευνώ τας Γραφάς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197902,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97607,Ευρέ Φίλιππος τον Ναθαναήλ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197903,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97608,Ζητούν την κεφαλήν μου επί πίνακι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214935,"Παπατσώνης, Τάκης Κ.",Αμοργός
97609,Ζώα μικρά μετά μεγάλων,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197886,"Παπατσώνης, Τάκης Κ.",Κρήτη
97610,Ζωή χαρισάμενη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197905,"Παπατσώνης, Τάκης Κ.",Κεφαλληνία
97611,Η γέεννα του πυρός,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248397,"Παπατσώνης, Τάκης Κ.",Αμοργός
97612,Η γη της επαγγελίας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197856,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97613,Η εν πολλαίς αμαρτίαις,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197896,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97614,"Η Καπερναούμ, η παραθαλάσσια",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239197,"Παπατσώνης, Τάκης Κ.",Κρήτη
97615,Η κιβωτός του Νώε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239199,"Παπατσώνης, Τάκης Κ.",Κρήτη
97616,Η κολυμβήθρα του Σιλωάμ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214930,"Παπατσώνης, Τάκης Κ.",Λακωνία
97617,Η ράβδος και η βακτηρία σου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248389,"Παπατσώνης, Τάκης Κ.",Αμοργός
97618,Ήλθεν ο Ιησούς και είπε στους!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248401,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97619,Θηρίο της αποκαλύψεως,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197907,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97620,Θρήνος και κλαυθμός και οδυρμός,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197863,"Παπατσώνης, Τάκης Κ.",Λακωνία
97621,Ίνα πληρωθή το ρηθέν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248398,"Παπατσώνης, Τάκης Κ.",Κύπρος
97622,Κάθου εκ δεξιών μου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239204,"Παπατσώνης, Τάκης Κ.",Θράκη
97623,Και δεόμαι ως Ιωνάς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197874,"Παπατσώνης, Τάκης Κ.",Νάξος
97624,Και έλαχεν ο κλήρος επί Ματθίαν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214932,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97625,Και είδον και ιδού,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197893,"Παπατσώνης, Τάκης Κ.",Πόντος
97626,Και οίνος ευφραίνει καρδίαν ανθρώπου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239220,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97627,Καλή νύχτα σας και Πασάτανα!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239235,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97628,Κύριε ελέησον!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239194,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97630,Ματαιότης ματαιοτήτων!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239205,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97631,Μέγας ει Κύριε!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239195,"Παπατσώνης, Τάκης Κ.",Σκύρος
97632,Μέλι γάλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239240,"Παπατσώνης, Τάκης Κ.",Λακωνία
97633,Μετά της κουστωδίας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239210,"Παπατσώνης, Τάκης Κ.",Θράκη
97634,Μη μου άπτου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197872,"Παπατσώνης, Τάκης Κ.",Αιτωλία
97635,Μνήσθητι μου Κύριε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239196,"Παπατσώνης, Τάκης Κ.",Λακωνία
97636,Μου φέρνεις τον κατακλυσμό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214938,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97637,Μωραίνει Κύριος ον βούλεται απολέσαι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239222,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97638,Νηστεύσαντες και μη νηστεύσαντες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239217,"Παπατσώνης, Τάκης Κ.",Λακωνία
97639,Νίπτω τας χείρας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239216,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97640,Νύμφη ανύμφευτος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239202,"Παπατσώνης, Τάκης Κ.",Λακωνία
97641,"Νυν απολύοις τον δούλον σου, Δέσποτα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197878,"Παπατσώνης, Τάκης Κ.",Αμοργός
97642,Ο άνομος Ιούδας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197859,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97643,Ο άπιστος Θωμάς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197858,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97644,Ο Γολγοθάς μου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197869,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97645,Ο έχων ώτα ακούειν ακουέτω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197897,"Παπατσώνης, Τάκης Κ.",Πόντος
97646,Ο μισθός υμών πολύς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239232,"Παπατσώνης, Τάκης Κ.",Λακωνία
97647,Ο σοφός Σολομών,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248394,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97648,Ο χορός του Ησαΐα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197906,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97649,Όρθρου βαθέος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214939,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97650,Όσοι πιστοί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214943,"Παπατσώνης, Τάκης Κ.",Μακεδονία
97651,Οι δώδεκα φυλές του Ισραήλ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197904,"Παπατσώνης, Τάκης Κ.",Επτάνησος
97652,Ον αγαπά κύριος παιδεύει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239226,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97653,Ουκ οίδα τον άνθρωπον,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239219,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97654,Οφθαλμόν αντί οφθαλμού,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214933,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97655,Πάσαν νόσον και πάσαν μαλακίαν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239218,"Παπατσώνης, Τάκης Κ.",Αμοργός
97656,Παρέδωκε τό πνεύμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248388,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97657,Παρελθέτω απ' εμού το ποτήριον τουτο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248390,"Παπατσώνης, Τάκης Κ.",Αμοργός
97658,Πλούσιοι επτώχευσαν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248391,"Παπατσώνης, Τάκης Κ.",Αρκαδία
97659,Που την κεφαλήν κλίναι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214931,"Παπατσώνης, Τάκης Κ.",Αμοργός
97660,Πτωχός τω πνεύματι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248400,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97661,Ρώτα το λύκο αν είν' παχιά τα πρόβατα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/249908,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97662,Σάρξ εκ της σαρκός μου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248392,"Παπατσώνης, Τάκης Κ.",Αμοργός
97663,Σαν το Λάζαρο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239238,"Παπατσώνης, Τάκης Κ.",Ήπειρος
97664,Σημεία και τέρατα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248385,"Παπατσώνης, Τάκης Κ.",Λακωνία
97665,Σκεύος εκλογής,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248395,"Παπατσώνης, Τάκης Κ.",Μακεδονία
97666,Σόδομα και Γόμορρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248396,"Παπατσώνης, Τάκης Κ.",Πόντος
97667,Σου ψέλνω τον εξάψαλμο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197875,"Παπατσώνης, Τάκης Κ.",Νάξος
97668,Στήλη άλατος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197898,"Παπατσώνης, Τάκης Κ.",Λακωνία
97669,Σώσον Κύριε!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239237,"Παπατσώνης, Τάκης Κ.",Αμοργός
97670,Τ' αγαθά του Αβραάμ και του Ισαάκ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197876,"Παπατσώνης, Τάκης Κ.",Αχαΐα
97671,Τα άγια τοις κυσίν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239211,"Παπατσώνης, Τάκης Κ.",Πόντος
97672,Τα τριάκοντα αργύρια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197891,"Παπατσώνης, Τάκης Κ.",Κρήτη
97673,Την αγαθήν μερίδα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239243,"Παπατσώνης, Τάκης Κ.",Αμοργός
97674,Τί σου καταμαρτωρούσι;,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214936,"Παπατσώνης, Τάκης Κ.",Κρήτη
97675,"Τις εστίν ο πλούσιος, ο εν τω ολίγω αναπαυόμενος;",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248393,"Παπατσώνης, Τάκης Κ.",Θράκη
97676,Το μάννα τ΄ουρανού,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214940,"Παπατσώνης, Τάκης Κ.",Θράκη
97677,Το ξύλο βγήκε απ' το παράδεισο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239224,"Παπατσώνης, Τάκης Κ.",Θράκη
97678,Το όρος Αραράτ,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214941,"Παπατσώνης, Τάκης Κ.",Λακωνία
97679,Τον δάκτυλον εις τον τύπον των ήλων,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197883,"Παπατσώνης, Τάκης Κ.",Αμοργός
97680,Τον μόσχον τον σιτευτόν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239214,"Παπατσώνης, Τάκης Κ.",Μικρά Ασία
97681,Των θυρών κεκλεισμένων,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197888,"Παπατσώνης, Τάκης Κ.",Ανατολική Θράκη
97682,Των παθών μου τον τάραχο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239203,"Παπατσώνης, Τάκης Κ.",Λακωνία
97683,"Ύπαγε οπίσω μου, Σατανα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248387,"Παπατσώνης, Τάκης Κ.",Αμοργός
97684,Χαίρε βάθος δυσθεώρητον!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197880,"Παπατσώνης, Τάκης Κ.",Αμοργός
97685,Ως η άμμος της θαλάσσης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197899,"Παπατσώνης, Τάκης Κ.",Αμοργός
97687,Ως πρόβατον επί σφαγήν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248384,"Παπατσώνης, Τάκης Κ.",Αρκαδία
99688,Το λόγον ατ δύο κ' εφτεάει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/210808,"Παρχαρίδης, Ι. Α.",Πόντος
102281,"Κι αν είσαι Γούτας, ας μην εβούτας",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/187372,"Πετρόπουλος, Δ.",Αχαΐα
102306,Ήρθε του Παπουλάκου η μέρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/249123,"Πετρόπουλος, Δ. Α.",Λακωνία
102363,Ήρθε του παλιανθρώπου η μέρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/249202,"Πετρόπουλος, Δημήτριος",Λακωνία
102621,Από τον κάβο-Ματαπά σαράντα μίλια ανοιχτά· κι' από τον κάβο-Δρόσο σαράντα κι' άλλο τόσο!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194809,"Πολίτης, Ν. Γ.",Θράκη
102622,Ο πουνέντης κι ο γαρμπής να βραδυάση και να ιδής,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/194808,"Πολίτης, Ν. Γ.",Κρήτη
102623,Τον έχει κορώνα στο κεφάλι της,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214225,"Πολίτης, Ν. Γ.",Ανατολική Θράκη
102669,Ήτανε της κακής δεομένης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/162974,"Πολίτου, Ιουλία Γ.",Κρήτη
102681,Άκουε πολλά και ομίλει ολίγα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157111,"Ποταγός, Ν. Ν.",Θράκη
102682,Άλλα 'ν' τα μάτια του λαγού κι' άλλα της κουκουβάιας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157112,"Ποταγός, Ν. Ν.",Λακωνία
102683,Άλλα λέγει κι' άλλα πιστεύει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/275088,"Ποταγός, Ν. Ν.",Αρκαδία
102684,Άλλα λέει το  βράδυ κι' άλλα κάνει το πρωί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157124,"Ποταγός, Ν. Ν.",Ήπειρος
102685,Άλλα λογιάζει ο γάϊδαρος κι' άλλα ο γαϊδουρολάτης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157097,"Ποταγός, Ν. Ν.",Αχαΐα
102686,Άλλοι παπάδες άλλα καλυμαύκια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157075,"Ποταγός, Ν. Ν.",Κρήτη
102687,Άλλοι πέφτουν κι' άλλοι ανασταίνονται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157084,"Ποταγός, Ν. Ν.",Αρκαδία
102688,Άλλος αγαπά τον παπά κι' άλλος την παπαδιά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157121,"Ποταγός, Ν. Ν.",Αρκαδία
102689,Άλλος έχασκε κι' άλλος εμετάλαβε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157106,"Ποταγός, Ν. Ν.",Κρήτη
102690,Άλλος κάνει κι' άλλος λαβαίνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157105,"Ποταγός, Ν. Ν.",Αμοργός
102691,Άλλου σήμερ' η σειρά κι άλλου αύριο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157096,"Ποταγός, Ν. Ν.",Αμοργός
102692,Άρπαξε να φας και κλέψε να χης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/202888,"Ποταγός, Ν. Ν.",Λακωνία
102693,Άστοχος ο νους διπλός ο κόπος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/285860,"Ποταγός, Ν. Ν.",Θεσπρωτία
102694,Άφσε να σε παινέσουν άλλοι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265207,"Ποταγός, Ν. Ν.",Θράκη
102695,Αι αρχαί τον άνδρα δείκνυσι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157079,"Ποταγός, Ν. Ν.",Πόντος
102696,Ακόμα δεν τον είδαμε και Φώτη τον εβγάλαμε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157128,"Ποταγός, Ν. Ν.",Λακωνία
102697,Αλλοίνονο όποιος δεν έχει νύχια να ξυστή μόνος του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/288934,"Ποταγός, Ν. Ν.",Νάξος
102698,Αλλού με ξεις καλόγερε κι' αλλού χω γω τον πόνο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157085,"Ποταγός, Ν. Ν.",Κρήτη
102699,Αν έχης τα καλά παιδιά τα ρούχα τι τα θέλεις; κι' ανα έχης τα κακά παιδιά τα ρούχα τι τα θέλεις,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265197,"Ποταγός, Ν. Ν.",Κεφαλληνία
102700,Ανάγκη και νόμου μετάθεσις,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157090,"Ποταγός, Ν. Ν.",Ιωάννινα
102701,"Ανεμομαζώματα, διαβολοσκορπίσματα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157077,"Ποταγός, Ν. Ν.",Εύβοια
102702,Ανήρ πυρούσαι και γυνή πυρπυρούται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165950,"Ποταγός, Ν. Ν.",Μικρά Ασία
102703,Αντί του μάννα χολή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157113,"Ποταγός, Ν. Ν.",Λακωνία
102704,"Απ' ό,τι έμαθε δε σιαστίζει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265248,"Ποταγός, Ν. Ν.",Θράκη
102705,Απ' όξω κούκλα κι' μέσα πανούκλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165906,"Ποταγός, Ν. Ν.",Εύβοια
102706,Απ' το ρόδι βγαίνει αγκάθι κι' απ' τ' αγκάθι βγαίνει ρόδο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157072,"Ποταγός, Ν. Ν.",Λακωνία
102707,Απ' το σιγαλό ποτάμι να φοβάσαι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265186,"Ποταγός, Ν. Ν.",Θράκη
102708,Απέθανε ο μυλωνάς 'ς τη χούρχουρη του μύλου από τη δίψα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/283631,"Ποταγός, Ν. Ν.",Αχαΐα
102709,Απλούς ο μύθος της αλήθειας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157095,"Ποταγός, Ν. Ν.",Ήπειρος
102710,Από μικρό κι από λωλό μαθαίνεις την αλήθεια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157104,"Ποταγός, Ν. Ν.",Αχαΐα
102711,Από πίσω βρίζουν και τον βασιλιά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/202856,"Ποταγός, Ν. Ν.",Ήπειρος
102712,Από πίτα που δεν φάς τι σε γνοιάζει κι' αν καή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265181,"Ποταγός, Ν. Ν.",Αρκαδία
102713,Από τα κεραμίδια τόπεσε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/202840,"Ποταγός, Ν. Ν.",Αρκαδία
102714,Από τα μικρά γεννώνται τα μεγάλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/281423,"Ποταγός, Ν. Ν.",Λακωνία
102715,Από τη γλώσσα γεννιώνται όλα τα κακά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165931,"Ποταγός, Ν. Ν.",Αρκαδία
102716,Από του κόρακος το στόμα κρα εξελεύσεται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/271518,"Ποταγός, Ν. Ν.",Αμοργός
102717,Αρχή το ήμισυ παντός,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157062,"Ποταγός, Ν. Ν.",Λακωνία
102718,Αφέντη μας έχ' αφέντη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157063,"Ποταγός, Ν. Ν.",Μακεδονία
102719,Βάλε μου και με καρφάκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165968,"Ποταγός, Ν. Ν.",Κεφαλληνία
102720,Βαρεί το μαχαίρι γροθιά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165918,"Ποταγός, Ν. Ν.",Αχαΐα
102721,Βλαστημάει τον καβαλλάρη που κρέμονται τα πόδια του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165984,"Ποταγός, Ν. Ν.",Αρκαδία
102722,"Γέλα με να σε γελώ, να περνούμε τον καιρό",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165952,"Ποταγός, Ν. Ν.",Ήπειρος
102723,Γεια σου Αγγέλω. Κουκκιά σπέρνω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265174,"Ποταγός, Ν. Ν.",Μακεδονία
102724,Για παπάς για ζευγάς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265229,"Ποταγός, Ν. Ν.",Μακεδονία
102725,Για ποιον άλλον τα μάχομαι παρά για τα παιδιά μου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265226,"Ποταγός, Ν. Ν.",Αμοργός
102726,Γιατί έβαψα τα ρούχα μου για να μη ντρέπομαι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157099,"Ποταγός, Ν. Ν.",Αρκαδία
102727,"Γιατί έκαψα την καλύβα μου, για να μη με τρων οι ψύλλοι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/267012,"Ποταγός, Ν. Ν.",Αρκαδία
102728,Δάσκαλε που δίδασκες και νόμο δεν εφύλαγες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165893,"Ποταγός, Ν. Ν.",Αρκαδία
102729,Δεν κουτσαίν' η γίδα από τ' αυτί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/271520,"Ποταγός, Ν. Ν.",Αιτωλία
102730,Δεν τα λέγεις συ τα λέγει το κλήμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/202886,"Ποταγός, Ν. Ν.",Μικρά Ασία
102731,"Δό μ', κυρά μ', τον άντρα σ' και σύ κράτα τον κόπανο",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165902,"Ποταγός, Ν. Ν.",Ανατολική Θράκη
102732,Δουλειά που δεν ξέρεις μη μπιχειρίζεσαι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/288932,"Ποταγός, Ν. Ν.",Λακωνία
102733,Δύσκολος ο δρόμος της αρετής και εύκολος της κακίας,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157109,"Ποταγός, Ν. Ν.",Αχαΐα
102734,Δυό κεφάλια σ' ένα σκούφο δεν χωρούν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165967,"Ποταγός, Ν. Ν.",Λακωνία
102735,Δυό μέτρα κ' ένα κόψε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/281414,"Ποταγός, Ν. Ν.",Εύβοια
102736,Δυό σπασμένοι νικάν έναν ανδρειωμένον,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165947,"Ποταγός, Ν. Ν.",Αρκαδία
102737,Δυό φορές δεν πέφτει η Μάρω 'ς την παγίδα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/290588,"Ποταγός, Ν. Ν.",Μακεδονία
102739,Έβγα έξω και πομπέψου κ' έμπα μέσα και πορέψου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265210,"Ποταγός, Ν. Ν.",Ρόδος
102740,Έλα παπουλη να σε μάθω τα γονικά σου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265216,"Ποταγός, Ν. Ν.",Θράκη
102741,Ένας κούκος άνοιξιν δέ φέρει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165889,"Ποταγός, Ν. Ν.",Μικρά Ασία
102742,Ένας μήνας θρέφει τους ένδεκα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/281411,"Ποταγός, Ν. Ν.",Αρκαδία
102743,Έπεσ' ο κολοιός 'ς το ξύδι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/202878,"Ποταγός, Ν. Ν.",Ήπειρος
102744,Έρθεν το νερόν σ' αυλάκ',Άδηλου τόπου,http://hdl.handle.net/20.500.11853/285869,"Ποταγός, Ν. Ν.",Πόντος
102745,Έφαγε η σκουριά το σίδερο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265239,"Ποταγός, Ν. Ν.",Ανατολική Θράκη
102746,Εγώ τα λε του σκύλου μου κι' ο σκύλος της νουράς του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/275082,"Ποταγός, Ν. Ν.",Μικρά Ασία
102747,Εθελέ τα κ' επαθέ τα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/165881,"Ποταγός, Ν. Ν.",Θράκη
102748,Είδ' ο μουρλός τον μεθυσμένον κι' έφυγε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/279454,"Ποταγός, Ν. Ν.",Αρκαδία
102749,Είπ' ο γάιδαρος τον πετεινό κεφάλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/275086,"Ποταγός, Ν. Ν.",Εύβοια
102750,Εις τα λόγια είν' σοφός και εις τα πράγματα κακός,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/202864,"Ποταγός, Ν. Ν.",Αχαΐα
102751,Εκεί όπου δε σε σπέρνουνε να μη φυτρώνης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265189,"Ποταγός, Ν. Ν.",Αρκαδία
102752,Εκύλησε η τέντζερη και ηύρε το καπάκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/157071,"Ποταγός, Ν. Ν.",Αρκαδία
102753,Εμπρός πατρός υιος δε βλογεί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265252,"Ποταγός, Ν. Ν.",Κρήτη
